OBJECTID,IDENTIFIER,ROADNAME,STATUS,CONSTRUCTIONYEAR,Council_Board,TYPEOFFACILITY,Shape__Length
1,1,Bay connection,Existing,NA,Howick,Off-road shared path,5.74652061487827
2,1,Bay connection,Existing,NA,Howick,Off-road shared path,963.546208892198
3,1,Bay connection,Existing,NA,Howick,Off-road shared path,415.740382370575
5,3,Rosedale Park North,Existing,NA,Upper Harbour,Off-road shared path,685.221694316646
6,5,Tamaki Drive,Existing,2012,Orakei,Off-road shared path,1529.03883012807
7,6,Tamaki Drive,Existing,2012,Orakei,Off-road shared path,2120.14147934511
8,6,Tamaki Drive,Existing,2012,Orakei,Off-road shared path,206.338916968877
9,7,Henderson Creek Path,Existing,NA,Henderson - Massey,Off-road shared path,635.729301246524
10,7,NA,Existing,NA,Henderson - Massey,Off-road shared path,94.8591434707513
11,7,Henderson Creek Path,Existing,NA,Henderson - Massey,Off-road shared path,288.878158823558
12,7,Henderson Creek Path,Existing,NA,Henderson - Massey,Off-road shared path,109.101615669098
13,7,Henderson Creek Path,Existing,NA,Henderson - Massey,Off-road shared path,55.2098362802804
14,8,Oratia Path,Existing,NA,Waitakere Ranges,Off-road shared path,1231.39389557202
15,9,Lower Opanuku Cycleway,Existing,NA,Waitakere Ranges,Off-road shared path,2260.13505289586
16,9,Lower Opanuku Cycleway,Existing,NA,Henderson - Massey,Off-road shared path,108.145031007129
17,10,Pakuranga Farm Cove,Existing,NA,Howick,Off-road shared path,1023.07431832499
18,10,Pakuranga Farm Cove,Existing,NA,Howick,Off-road shared path,4266.66420113488
19,11,War Memorial Park,Existing,NA,Puketapapa,Off-road shared path,850.095920103826
20,12,Lloyd Elsmore Park to Botany,Existing,NA,Howick,Off-road shared path,1097.95549657751
21,12,Lloyd Elsmore Park to Botany,Existing,NA,Howick,Off-road shared path,774.532976318861
22,14,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,6.41382302278028
23,14,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,972.072964301273
24,14,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,34.7737256080962
25,14,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,80.5659274657382
26,14,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,48.649307943455
27,15,Tamaki Drive,Existing,2012,Orakei,Off-road shared path,1878.18994672718
28,16,Memorial and Somerset Road,Existing,NA,Puketapapa,Off-road shared path,0.177417615238054
29,16,Memorial and Somerset Road,Existing,NA,Puketapapa,Off-road shared path,309.148721964817
30,16,Memorial and Somerset Road,Existing,NA,Puketapapa,Off-road shared path,531.147522671343
31,24,Kiwi Esplanade,Existing,NA,Mangere - Otahuhu,Off-road shared path,2745.49062597267
32,25,Maioro Street,Existing,NA,Whau,Off-road shared path,719.490332847505
33,25,Maioro Street,Existing,NA,Puketapapa,Off-road shared path,123.387035571374
34,26,Te Atatu Road,Existing,NA,Henderson - Massey,Off-road shared path,224.891850160384
35,26,Te Atatu Road,Existing,2016,Henderson - Massey,Off-road shared path,196.965311572986
36,26,Te Atatu Road,Existing,NA,Henderson - Massey,Off-road shared path,111.652214998324
37,26,Te Atatu Road,Existing,NA,Henderson - Massey,Off-road shared path,1202.69666383982
39,28,Forrest Hill Road,Existing,NA,Devonport - Takapuna,Off-road shared path,267.242800160154
