Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
BRAMLEY DR,FIELDING CRES (WEST),FIELDING CRES (EAST),522,Yes,1016668800000,NA,NA,451,NA,NA,NA,NA,NA,NA,NA,NA,1767774.5143,5915373.4751
AWHITU RD,KING ST (SUMPS RHS),MILLBROOK DR,230,Yes,1332374400000,1700,NA,3831,407,92,4,3,1,0,0,4,1752175.3841,5876738.6134
AWHITU RD,WAIPIPI WHARF RD (POWERPOLE LHS),CRAIG RD,5830,Yes,1086912000000,08:00,NA,613,86,81,9,3,4,3,0,10,1749563.952,5881076.5652
AWHITU RD,CRAIG RD,GORDON RD,6522,Yes,640224000000,NA,NA,1380,NA,81,9,3,4,3,0,10,1749376.7724,5881705.6138
AWHITU RD,WEST COAST RD,FIELDING RD (SIGN),23199,Yes,856051200000,NA,NA,858,NA,81,9,3,4,3,0,10,1742975.2943,5889542.1596
AWHITU RD,KEMP RD,MATAKAWAU RD,26056,Yes,1055808000000,NA,NA,844,NA,86,8,3,2,1,0,6,1743424.2624,5891419.8687
AWHITU RD,COLBECK RD (POWERPOLE RHS),AWHITU CENTRAL RD,30814,Yes,1245283200000,1300,NA,437,0,92,3,4,0,1,0,5,1744710.8959,5894868.8783
BROOK RD,AWHITU RD,WALTERS RD (SIGN),50,Yes,1196121600000,15:00,NA,242,51,92,4,3,1,0,0,4,1744706.3978,5893166.7524
COOPER RD (AWHITU),AWHITU RD,TE TORO RD,50,Yes,1097107200000,07:00,NA,37,11,0,97,3,0,0,0,3,1746239.943,5883774.5732
CRAIG RD,AWHITU RD,OLDFIELD RD (POWERPOLE RHS),85,Yes,1246233600000,1700,NA,196,0,92,5,2,1,0,0,3,1749375.6953,5881198.3521
CREAMERY RD (WAIPIPI),AWHITU RD (POWERPOLE RHS),KEOGH RD,95,Yes,1132358400000,08:00,NA,334,120,89,2,8,1,0,0,9,1749411.4638,5880443.1955
DOUGLAS RD (AWHITU),AWHITU RD,END,50,Yes,972086400000,NA,NA,64,NA,81,9,3,4,3,0,10,1743856.8589,5884147.36
GIVEN RD,MARTIN RD,CAPES RD,2973,Yes,1245283200000,1500,NA,90,0,93,2,4,1,0,0,5,1745139.1742,5887657.3384
HATTON RD (AWHITU),AWHITU RD,END,50,Yes,881452800000,NA,NA,95,NA,81,9,3,4,3,0,10,1744092.6335,5891942.1125
KAIHAU RD,AWHITU RD,GAZELLE RD (POWERPOLE LHS),350,Yes,1245456000000,1600,NA,150,0,90,3,5,1,1,0,7,1750683.6054,5877938.8663
