"","OBJECTID","LANESTART","LANEEND","SVLType","OperatingDay","StartingHourM","EndingHourM","EndingHourE","LanePositionNew","StartingHourE","Shape__Length"
"1",1,"129 Anzac Avenue (NE of Waterloo Quadrant)","23 Anzac Avenue (S of Beach Road)","Bus","24/7",NA,NA,NA,"Kerbside",NA,535.363519712575
"2",2,"2 Anzac Avenue (S of Beach Road)","152 Anzec Avenue (NE cnr Alten Road)","Bus","24/7",NA,NA,NA,"Kerbside",NA,543.62186611427
"3",3,"732 Dominion Road (S of Kensington Avenue)","1256 Dominion Road (S of Keystone Avenue)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,1880.92475083214
"4",4,"Opposite 1 Centorian Drive (W of East Coast Road)","55 Constellation Drive (E of Parkway Avenue)","T2","Monday to Friday",6.3,10,NA,"Kerbside",NA,803.274199505122
"5",5,"42 Constellation Drive (E of Home Place)","8 Constellation Drive (W of Centorian Drive)","T2","Monday to Friday",NA,NA,19,"Kerbside",16,702.785372136437
"6",6,"231 East Coast Road (SE of Sunnynook Road)","Opposite 258 East Coast Road (N of Forrest Hill Rbout)","T2","Monday to Friday",6.3,10,NA,"Kerbside",NA,551.231019966412
"7",7,"Opposite 268 Forrest Hill Road (S of East Coast Road Rbout)","149 Forrest Hill Road (N of Seine Road)","T2","Monday to Friday",6.3,10,NA,"Kerbside",NA,1286.94420445239
"8",8,"93 Forrest Hill Road (S of Quebec Road)","17 Forrest Hill Road (N of Nile Road)","T2","Monday to Friday",6.3,10,NA,"Kerbside",NA,610.690187744654
"9",9,"6 Shakespeare Road (S of Kitchener Road)","124 Shakespeare Road (N of North Shore Hospital)","T2","Monday to Friday",6.3,10,NA,"Kerbside",NA,1113.4648011783
"10",10,"2 Akoranga Drive (Onewa Domain SE of Northcote Road)","90 Akoranga Drive (NW of The Warehouse Way)","T2","Monday to Friday",NA,10,NA,NA,NA,1041.86407047484
"11",11,"Opposite 90 Akoranga Drive (NW of The Warehouse Way)","3 Akoranga Drive (SE of Northcote Road)","T2","Monday to Friday",NA,NA,19,NA,NA,1080.35339863012
"12",12,"Opposite 100 Lake Road (S of Exmouth Road)","1 Lake Road (N of Onewa Road)","T3","Monday to Friday",6.3,10,NA,"Kerbside",NA,807.850081669314
